gloss,closs,cfloss,crloss,cploss
-202.185302734375,-52.230607223510724,42.11725997924805,-94.3478675842285,14.901920020580292
0.0,-55.02117633819581,40.08194065093994,-95.10311698913576,15.790322482585907
0.0,-58.62895126342773,35.799980545043944,-94.42893180847167,16.84609305858612
0.0,-61.838430595397945,32.634734821319576,-94.47316551208498,18.323196947574615
0.0,-61.96561393737793,32.280992603301996,-94.24660682678224,18.156166970729828
-163.184100151062,-52.14540367126466,34.59696712493896,-86.74237098693845,14.924494206905365
0.0,-55.58590278625489,30.409237575531005,-85.99514045715333,15.894790828227997
0.0,-60.737932205200195,28.781692790985108,-89.51962490081787,18.01685756444931
0.0,-62.575424385070804,28.007589149475095,-90.58301277160643,18.50336992740631
0.0,-64.62075901031494,25.673192882537844,-90.29395179748535,19.152885258197784
-157.69826221466064,-52.856724166870116,33.93339233398438,-86.79011650085448,15.208489179611206
0.0,-55.9886531829834,31.437620162963867,-87.42627334594728,16.192080229520798
0.0,-59.69035148620605,28.007168769836426,-87.69752006530763,17.250915855169296
0.0,-61.823890304565424,28.91070070266724,-90.73459091186524,18.088934898376465
0.0,-63.05644741058349,25.14867467880249,-88.2051223754883,18.580148607492447
-142.92166566848755,-53.24661293029786,30.55396270751953,-83.8005760192871,15.529344618320465
0.0,-55.34428501129151,29.069782495498654,-84.41406745910645,15.600155621767044
0.0,-61.14349117279052,26.91534614562988,-88.05883750915527,18.104227244853973
0.0,-63.21569232940675,26.57890095710755,-89.79459304809572,18.843009114265442
0.0,-63.75735225677491,25.810525465011597,-89.56787834167481,18.84604847431183
-151.7502794265747,-51.54945755004882,31.19781770706177,-82.74727554321288,14.606495842337608
0.0,-55.118593788146974,22.63106527328491,-77.74965934753419,15.704042494297028
0.0,-60.74263515472413,25.549757766723634,-86.29239330291749,17.855391293764114
0.0,-63.752545547485354,26.529434442520138,-90.28197975158692,18.8797205388546
0.0,-64.66976776123046,25.709355163574223,-90.3791233062744,19.418790757656097
-148.19056749343872,-53.837702560424816,31.320177936553954,-85.15788040161132,15.425096362829208
0.0,-54.16060638427736,28.567824840545654,-82.7284309387207,15.525134474039078
0.0,-58.52018756866456,25.176903438568115,-83.6970905303955,16.85852211713791
0.0,-61.37868709564209,25.624869346618645,-87.00355567932131,18.124629348516464
0.0,-62.90931549072266,23.69499382972717,-86.60430984497071,18.71754491329193
-146.90409517288208,-50.38681621551515,30.646553564071652,-81.03336944580077,13.999804109334946
0.0,-56.44424362182618,24.534080886840822,-80.97832469940185,16.156227260828018
0.0,-64.68380088806153,23.283258342742922,-87.96705932617186,19.21108990907669
0.0,-66.06194381713868,24.658943700790406,-90.72088775634765,19.609699487686157
0.0,-67.53128299713134,25.728700351715087,-93.25998344421386,20.359446227550507
-142.2900528907776,-52.09876251220703,30.103561115264892,-82.20232391357423,14.81338056921959
0.0,-54.5949520111084,26.14305372238159,-80.73800582885741,15.45148977637291
0.0,-59.48544387817383,23.229650878906256,-82.71509475708007,17.367730379104614
0.0,-61.14274978637695,21.173943805694577,-82.31669425964355,17.927867770195007
0.0,-63.29237079620361,21.77474830150604,-85.06711883544922,19.02292686700821
-121.26287746429443,-51.24612846374512,26.032291603088378,-77.2784194946289,14.31591334939003
0.0,-54.850320243835455,22.092346477508546,-76.94266662597657,15.599144756793976
0.0,-59.73438186645509,19.296717309951784,-79.0310989379883,17.449397146701813
0.0,-61.55034103393557,18.68450403213501,-80.23484497070311,18.0264995098114
0.0,-63.50186176300048,18.7544412612915,-82.25630264282226,18.77462065219879
-120.27077054977417,-52.372938346862796,26.105700492858883,-78.47863845825196,15.156150549650192
0.0,-52.81202678680419,22.298678207397458,-75.11070518493652,14.686639219522476
0.0,-59.29030227661132,21.177204132080075,-80.46750621795655,17.315294563770294
0.0,-62.33381977081298,24.40278606414795,-86.73660583496094,18.37354126572609
0.0,-64.00330696105956,21.699211978912352,-85.70251846313478,19.037192404270172
-135.16152715682983,-50.09387760162353,28.265438938140868,-78.35931663513185,14.028391391038895
0.0,-53.896866416931154,25.232474279403686,-79.12934074401855,15.335067093372345
0.0,-59.22672443389893,21.901939487457273,-81.12866439819337,17.246578961610794
0.0,-61.35316009521485,21.63158130645752,-82.98474082946778,18.10789704322815
0.0,-62.34889106750488,20.500354957580566,-82.8492458343506,18.093305349349976
-115.67690753936768,-49.6896682739258,24.652677965164184,-74.34234676361085,13.919706419110298
0.0,-55.416302108764654,22.4087794303894,-77.8250816345215,15.917261451482773
0.0,-61.5121129989624,20.854715633392335,-82.36682891845702,18.168902456760406
0.0,-63.89695453643798,18.90929551124573,-82.80624961853029,18.753587543964386
0.0,-65.1379400253296,18.541631937026974,-83.6795722961426,19.337584406137466
-122.11871433258057,-48.51816520690919,26.621241855621335,-75.13940696716308,13.649469137191772
0.0,-52.91979084014891,22.54054279327393,-75.46033401489258,14.922455251216888
0.0,-59.52598533630371,20.34804310798645,-79.8740280151367,17.48041531443596
0.0,-62.2490779876709,19.46529748439789,-81.71437568664551,18.0999076962471
0.0,-62.857524681091306,18.956680750846864,-81.81420574188233,18.51359897851944
-138.04023838043213,-48.91785030364989,30.639689159393306,-79.55753936767577,13.656531482934952
0.0,-52.50950794219971,20.787125825881954,-73.29663391113282,14.764857530593872
0.0,-59.00700569152833,17.93486380577087,-76.94186935424804,17.14679506421089
0.0,-62.45908107757568,19.9358136177063,-82.39489517211915,18.59597611427307
0.0,-64.36061153411865,18.93832566738129,-83.29893703460694,18.810928285121918
-135.79951190948486,-50.01177730560302,29.3263569355011,-79.33813438415527,14.205614805221558
0.0,-52.8749340057373,23.422346353530884,-76.29728031158447,14.893047392368317
0.0,-59.1791790008545,18.429116344451906,-77.60829582214356,17.04363664984703
0.0,-62.18789157867432,18.676769828796388,-80.86466178894044,18.360267460346222
0.0,-62.38364334106446,18.3136415719986,-80.69728527069093,18.197495102882385
-127.642343044281,-48.92763538360597,26.97685751914978,-75.90449295043945,13.655727595090866
0.0,-53.03972072601317,19.43464322090149,-72.47436389923097,14.869344353675842
0.0,-62.4619722366333,17.627436852455137,-80.08940925598145,18.667241394519806
0.0,-64.21939792633057,18.77998373508453,-82.99938125610352,18.864454060792923
0.0,-66.07862358093261,18.535916090011593,-84.61454010009766,19.787779092788696
